"Variable","Titre","Formulaire (par défaut BM)","page","type","Représentation (par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI)","Non Modifiable (par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation  (par défaut aucune)","Nom variable n-1 dans ADRESSE09"
0,"Copie de code UA pour affichage page 0","BDP",0,"Int",10,,,,"OUI",,,,"n-1","code_bib"
1,"Nom ","BDP",0,"Str",60,,,,,,,,"n-1","libelle1"
2,"Nom (suite)","BDP",0,"Str",60,,,"N",,,,,"n-1","libelle2"
30,"Complément d'adresse","BDP",0,"Str",60,,,"N",,,,,"n-1","local "
31,"N°","BDP",0,"Str",10,,,"N",,,,,"n-1","voie_num"
32,"Type voie","BDP",0,"Str",20,34,,"N",,,,,"n-1","voie_type"
33,"Nom voie","BDP",0,"Str",60,,,"N",,,,,"n-1","voie_nom"
4,"Code postal","BDP",0,"digit",5,10,," ",,,,,"n-1","cpbiblio"
5,"Ville","BDP",0,"Str",60,40,," ",,,,,"n-1","ville"
6,"Cedex","BDP",0,"Str",10,,,"N",,,,,"n-1","cedexb"
7,"Nom et prénom du directeur ou du directeur par intérim","BDP",0,"Str",60,,,,,,,,"n-1","directeu"
8,"Statut et Grade du Directeur ou du directeur par intérim","BDP",0,"Str",60,,,,,,,,"n-1","st_dir"
9,"Téléphone","BDP",0,"digit",10,,"0xxxxxxxxx",,,,,,"n-1","tele"
10,"Fax","BDP",0,"digit",10,,"0xxxxxxxxx",,,,,,"n-1","fax"
11,"Courriel","BDP",0,"Str",60,,,,,,,,,
12,"Site Internet","BDP",0,"Str",60,,,,,,,,"n-1","www"
"A11",,"BDP","A","Int",10,,,,,,,,,
"A12",,"BDP","A","Int",10,,,,,,,,,
"A13",,"BDP","A","Int",10,,,,,,,,,
"A14",,"BDP","A","Int",10,,,,,,,,,
"A15",,"BDP","A","Int",10,,,,,,,,,
"A16",,"BDP","A","Int",10,,,,,,,,,
"A17",,"BDP","A","Int",10,,,,,"A11+A12+A13+A14+A15+A16+A18",,,,
"A18",,"BDP","A","Int",10,,,,,,,,,
"A21",,"BDP","A","Int",10,,,,,,,,,
"A22",,"BDP","A","Int",10,,,,,,,,,
"A23",,"BDP","A","Int",10,,,,,,,,,
"A24",,"BDP","A","Int",10,,,,,"A21+A22+A23",,,,
"A31",,"BDP","A","Int",10,,,,,,,,,
"A32",,"BDP","A","Int",10,,,,,,,,,
"B11X",,"BDP","B","Int",10,,,,,,,,,
"B11Y",,"BDP","B","Int",10,,,,,,,,,
"B11Z",,"BDP","B","Int",10,,,,,"B11X+B11Y",,,,
"B12X",,"BDP","B","Int",10,,,,,,,,,
"B12Y",,"BDP","B","Int",10,,,,,,,,,
"B12Z",,"BDP","B","Int",10,,,,,"B12X+B12Y",,,,
"B13X",,"BDP","B","Int",10,,,,,,,,,
"B13Y",,"BDP","B","Int",10,,,,,,,,,
"B13Z",,"BDP","B","Int",10,,,,,"B13X+B13Y",,,,
"B14Z",,"BDP","B","Int",10,,,,,,,,,
"B15",,"BDP","B","Boolean","Radio",,,,,,,,,
"B16X",,"BDP","B","Int",10,,,,,,,,,
"B16Y",,"BDP","B","Int",10,,,,,,,,,
"B16Z",,"BDP","B","Int",10,,,,,"B16X+B16Y",,,,
"B21",,"BDP","B","Int",10,,,,,,,,,
"B22",,"BDP","B","Int",10,,,,,,,,,
"B23",,"BDP","B","Int",10,,,,,,,,,
"B31",,"BDP","B","Boolean","Radio",,,,,,,,,
"B32",,"BDP","B","Str",60,,,,,,"B31",,,
"B33",,"BDP","B","Boolean","Radio",,,,,,,,,
"B34",,"BDP","B","Int",10,,,,,,"B33",,,
"B35",,"BDP","B","Str",10,,,,,,"B33",,,
"B36X",,"BDP","B","Int",10,,,,,,,,,
"B36Y",,"BDP","B","Int",10,,,,,,,,,
"B37X",,"BDP","B","Int",10,,,,,,,,,
"B37Y",,"BDP","B","Int",10,,,,,,,,,
"B38X",,"BDP","B","Int",10,,,,,"B36X+B37X",,,,
"B38Y",,"BDP","B","Int",10,,,,,"B36Y+B37Y",,,,
"B39",,"BDP","B","Boolean","Radio",,,,,,"B41",,,
"B40",,"BDP","B","Boolean","Radio",,,,,,"B41",,,
"B41",,"BDP","B","Boolean","Radio",,,,,,,,,
"C11S",,"BDP","C","Int",10,,,,,,,,,
"C11T",,"BDP","C","Dec","5,2",,,,,,,,,
"C11U",,"BDP","C","Int",10,,,,,,,,,
"C11W",,"BDP","C","Int",10,,,,,,,,,
"C11X",,"BDP","C","Dec","5,2",,,,,,,,,
"C11Y",,"BDP","C","Int",10,,,,,,,,,
"C11Z",,"BDP","C","Int",10,,,,,,,,,
"C12S",,"BDP","C","Int",10,,,,,,,,,
"C12T",,"BDP","C","Dec","5,2",,,,,,,,,
"C12U",,"BDP","C","Int",10,,,,,,,,,
"C12W",,"BDP","C","Int",10,,,,,,,,,
"C12X",,"BDP","C","Dec","5,2",,,,,,,,,
"C12Y",,"BDP","C","Int",10,,,,,,,,,
"C12Z",,"BDP","C","Int",10,,,,,,,,,
"C13S",,"BDP","C","Int",10,,,,,,,,,
"C13T",,"BDP","C","Dec","5,2",,,,,,,,,
"C13U",,"BDP","C","Int",10,,,,,,,,,
"C13W",,"BDP","C","Int",10,,,,,,,,,
"C13X",,"BDP","C","Dec","5,2",,,,,,,,,
"C13Y",,"BDP","C","Int",10,,,,,,,,,
"C13Z",,"BDP","C","Int",10,,,,,,,,,
"C14S",,"BDP","C","Int",10,,,,,,,,,
"C14T",,"BDP","C","Dec","5,2",,,,,,,,,
"C14U",,"BDP","C","Int",10,,,,,,,,,
"C14W",,"BDP","C","Int",10,,,,,,,,,
"C14X",,"BDP","C","Dec","5,2",,,,,,,,,
"C14Y",,"BDP","C","Int",10,,,,,,,,,
"C14Z",,"BDP","C","Int",10,,,,,,,,,
"C17S",,"BDP","C","Int",10,,,,,,,,,
"C17T",,"BDP","C","Dec","5,2",,,,,,,,,
"C17U",,"BDP","C","Int",10,,,,,,,,,
"C17W",,"BDP","C","Int",10,,,,,,,,,
"C17X",,"BDP","C","Dec","5,2",,,,,,,,,
"C17Y",,"BDP","C","Int",10,,,,,,,,,
"C17Z",,"BDP","C","Int",10,,,,,,,,,
"C21S",,"BDP","C","Int",10,,,,,,,,,
"C21T",,"BDP","C","Dec","5,2",,,,,,,,,
"C21U",,"BDP","C","Int",10,,,,,,,,,
"C21W",,"BDP","C","Int",10,,,,,,,,,
"C21X",,"BDP","C","Dec","5,2",,,,,,,,,
