"N° de contrôle","message d'alerte","écriture du contrôle","force du contrôle
1=alerte, 
2=contrôle bloquant ","page"
1,"C104 est supérieur à C103","C104 <= C103",1,"C"
2,"C106 est supérieur à C105","C106 <= C105",1,"C"
3,"C108 est supérieur à C107","C108 <= C107",1,"C"
4,"C203 est supérieur à C202","C203 <= C202",1,"C"
5,"C204 est supérieur à C202","C204 <= C202",1,"C"
6,"C205 est supérieur à C202","C205 <= C202",1,"C"
7,"C302 est supérieur à C301","C302 <= C301",1,"C"
8,"C303 est supérieur à C301","C303 <= C301",1,"C"
9,"C304 est supérieur à C301","C304 <= C301",1,"C"
10,"C305 est supérieur à C301","C305 <= C301",1,"C"
11,"C306 est supérieur à C301","C306 <= C301",1,"C"
12,"C308 est supérieur à C307","C308 <= C307",1,"C"
13,"C301 n'est pas égal à C302+C303+C304+C305+C306","C301== C302+C303+C304+C305+C306",2,"C"
14,"D102 est supérieur à D101","D102 <= D101",1,"D"
15,"D103 est supérieur à D101","D103 <= D101",1,"D"
16,"D104 est supérieur à D101","D104 <= D101",1,"D"
17,"D105 est supérieur à D104","D105 <= D104",1,"D"
18,"D107 est supérieur à D101","D107 <= D101",1,"D"
19,"D109 est supérieur à D101","D109 <= D101",1,"D"
20,"D113 est supérieur à D111","D113 <= D111",1,"D"
21,"D114 est supérieur à D111","D114 <= D111",1,"D"
22,"D115 est supérieur à D114","D115 <= D114",1,"D"
23,"D118 est supérieur à D116","D118 <= D116",1,"D"
24,"D119 est supérieur à D116","D119 <= D116",1,"D"
25,"D120 est supérieur à D119","D120 <= D119",1,"D"
26,"D124 est supérieur à D122","D124 <= D122",1,"D"
27,"D125 est supérieur à D122","D125 <= D122",1,"D"
28,"D126 est supérieur à D125","D126 <= D125",1,"D"
29,"D128 n'est pas égal à D101+D116","D128 == D101+D116",2,"D"
30,"D130 est supérieur à D128","D130 <= D128",1,"D"
31,"D131 est supérieur à D129","D131 <= D129",1,"D"
32,"D132 est supérieur à D128","D132 <= D128",1,"D"
33,"D135 n'est pas égal à D111+D122","D135 == D111+D122",2,"D"
34,"D133 est supérieur à D132","D133 <= D132",1,"D"
35,"D137 est supérieur à D135","D137 <= D135",1,"D"
36,"D138 est supérieur à D135","D138 <= D135",1,"D"
37,"D139 est supérieur à D138","D139 <= D138",1,"D"
38,"D207 n'est pas égal à D201","D207 == D201",2,"D"
39,"D208 n'est pas égal à D202+D205","D208 == D202+D205",2,"D"
40,"D210 n'est pas égal à D204+D206","D210 == D204+D206",2,"D"
41,"D311 est supérieur à D309","D311 <= D309",1,"D"
42,"D312 est supérieur à D311","D312 <= D311",1,"D"
43,"E119 n'est pas égal à E113+E116 ","E119==E113+E116",2,"E"
44,"E120 n'est pas égal à E114+E117 ","E120==E114+E117",2,"E"
45,"E121 n'est pas égal à E115+E118","E121==E115+E118",2,"E"
46,"E128 n'est pas égal à E122+E125","E128==E122+E125",2,"E"
47,"E129 n'est pas égal à E123+E126","E129==E123+E126",2,"E"
48,"E130 n'est pas égal à E124+E127","E130==E124+E127",2,"E"
49,"E137 n'est pas égal à E131+E134","E137==E131+E134",2,"E"
50,"E138 n'est pas égal à E132+E135","E138==E132+E135",2,"E"
51,"E139 n'est pas égal à E133+E136","E139==E133+E136",2,"E"
52,"E140 est supérieur à E101","E140 <= E101",2,"E"
53,"E141 est supérieur à E102","E141 <= E102",2,"E"
