"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"A100","Code","BM","A","Int",10,,,,"Oui",,,"AC","N-1","code_ua"
"A101","Nom de l'établissement","BM","A","Str",60,,,,,,,"AC","N-1","libelle1"
"A102","Libellé 1","BM","A","Str",60,,,"N",,,,"AC","N-1","libelle2"
"A103","Complément d'adresse","BM","A","Str",60,,,"N",,,,"AC","N-1","local "
"A104","N°","BM","A","Str",10,,,"N",,,,"AC","N-1","voie_num"
"A105","Type voie","BM","A","Str",20,34,,"N",,,,"AC","N-1","voie_type"
"A106","Nom voie","BM","A","Str",60,,,"N",,,,"AC","N-1","voie_nom"
"A107","Code postal","BM","A","digit",5,10,," ",,,,"AC","N-1","cpbiblio"
"A108","Ville","BM","A","Str",60,40,," ",,,,"AC","N-1","ville"
"A109","Cedex","BM","A","Str",10,,,"N",,,,"AC","N-1","cedexb"
"A110","Responsable de l'établissement","BM","A","Str",60,,,,,,,"AC","N-1","directeu"
"A111","Statut et/ou grade du responsable","BM","A","Str",60,,,,,,,"AC","N-1","st_dir"
"A112","Téléphone","BM","A","digit",10,,"0xxxxxxxxx",,,,,"AC","N-1","tele"
"A113","Fax","BM","A","digit",10,,"0xxxxxxxxx","N",,,,"AC","N-1","fax"
"A114","Courrier électronique ","BM","A","Str",60,,,"N",,,,"AC","N-1","mel"
"A115","Site internet","BM","A","Str",60,,,"N",,,,"AC","N-1","www"
"A116","Statut site","BM","A","Enum","Radio",,"Site internet propre / Page dédiée au sein du site de la collectivité","N",,,,"AC",,
"A117","Mode de gestion de l'établissement","BM","A","Enum","Radio",,"Régie directe / Association / Association avec convention",,,,,"AC","N-1","gestion"
"A200","Population concernée","BM","A","Int",10,,,,"Oui",,,"AC","N-1","popula dans table UA09"
"B101","Nom de l'établissement",,"B","Str",60,,," ",,,,"AC","N-1",
"B102","Libellé 1",,"B","Str",60,," ","N",,,,"AC","N-1",
"B103","Complément d'adresse",,"B","Str",60,,,"N",,,,"AC","N-1",
"B104","N°",,"B","Str",10,,,"N",,,,"AC","N-1",
"B105","Type voie",,"B","Str",20,,,"N",,,,"AC","N-1",
"B106","Nom voie",,"B","Str",60,,,"N",,,,"AC","N-1",
"B107","Code postal",,"B","digit",5,10,," ",,,,"AC","N-1",
"B108","Ville",,"B","Str",60,,," ",,,,"AC","N-1",
"B109","Cedex",,"B","Str",10,,,"N",,,,"AC","N-1",
"B110","Fonds en unités matérielles",,"B","Int",10,,,"N",,,,"AC",,
"B111","Surface utile nette totale en m²",,"B","Int",10,,,"N",,,,"AC",,
"B112","Personnel en ETPT",,"B","Dec","5,2",10,,"N",,,,"AC",,
"B113","Nombre de places assises",,"B","Int",10,,,"N",,,,"AC",,
"B114","Nombre d'heures d'ouverture hebdomadaires",,"B","Dec","4,1",10,,"N",,,,"AC",,
"B115","Nombre de jours d'ouverture annuels",,"B","dec","4,1",,,"N",,,,"AC",,
"B116","Nombre d'heures d'ouverture annuelles",,"B","dec","4,1",,,"N",,,,"AC",,
"C101","Nombre d'heures d'ouverture hebdomadaires",,"C","dec","4,1",10,,,,,,"AC",,
"C102","Nombre de jours d'ouverture annuels",,"C","Int",10,,,,,,,"AC",,
"C103","Nombre de places assises disponibles",,"C","Int",10,,,,,,,"C",,
"C104","avec possibilité de connecter un ordinateur",,"C","Int",10,,,,,,,"C",,
"C105","Nombre de postes informatiques publics",,"C","Int",10,,,,,,,"AC",,
"C106","avec accès internet",,"C","Int",10,,,,,,,"AC",,
"C107","Nombre de postes informatiques professionnels",,"C","Int",10,,,,,,,"AC",,
"C108","avec accès internet",,"C","Int",10,,,,,,,"AC",,
"C109","Nombre de photocopieurs en accès public",,"C","Int",10,,,,,,,"C",,
"C110","Nombre d'imprimantes en accès public",,"C","Int",10,,,,,,,"C",,
"C111","Appareils dédiés à la lecture de livres électroniques",,"C","Int",10,,,,,,,"C",,
"C112","Nombre de bibliobus",,"C","Int",10,,,,,,,"C",,
"C201","Le catalogue de la bibliothèque est-il informatisé ?",,"C","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"C202","Nombre total de notices au catalogue ",,"C","Int",10,,,,,,,"C",,
"C203","Dont nombre de notices informatiques",,"C","Int",10,,,"N",,,"C201","C",,
"C204","Dont nombre de notices entrées dans l'année",,"C","Int",10,,,,,,,"C",,
"C205","Dont nombre de notices entrées par importation dans l'année",,"C","Int",10,,,"N",,,"C201","C",,
"C206","Nom et version du logiciel de gestion ",,"C","Str",60,,,"N",,,"C201","AC",,
"C301","Surface utile nette totale",,"C","Int",10,,,,,,,"AC",,
"C302","Espaces de services internes",,"C","Int",10,,,,,,,"C",,
"C303","Espaces de service public ",,"C","Int",10,,,,,,,"C",,
"C304","Espaces manifestations et animations",,"C","Int",10,,,,,,,"C",,
"C305","Espaces de magasins",,"C","Int",10,,,,,,,"C",,
"C306","Cafétérias et surfaces de détente",,"C","Int",10,,,,,,,"C",,
"C307","Totalité des fonds",,"C","Int",10,,,,,,,"C",,
"C308","dont fonds en libre accès",,"C","Int",10,,,,,,,"C",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"D101","Imprimés – Adultes – Livres imprimés – UM – Fonds",,"D","Int",10,,,,,,,"AC",,
"D102","Imprimés – Adultes – Livres imprimés – UM – Acquisitions",,"D","Int",10,,,,,,,"AC",,
"D103","Imprimés – Adultes – Livres imprimés – UM – Eliminations",,"D","Int",10,,,,,,,"AC",,
"D104","Imprimés – Adultes – Livres imprimés – dont libre accès – UM – Fonds ",,"D","Int",10,,,,,,,"C",,
"D105","Imprimés – Adultes – Livres imprimés – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D106","Imprimés – Adultes – Livres imprimés – dont libre accès – TIT – Acquisition",,"D","Int",10,,,,,,,"C",,
"D107","Imprimés – Adultes – Livres imprimés – dont publiés avant 1811– UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D108","Imprimés – Adultes – Livres imprimés – dont publiés avant 1811 – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D109","Imprimés – Adultes – Livres imprimés – dont publiés entre 1811 et 1914 – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D110","Imprimés – Adultes – Livres imprimés – dont publiés entre 1811 et 1914 – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D111","Imprimés – Adultes – Publications en série imprimées – UM – Fonds",,"D","Int",10,,,,,,,"C",,
